session_id,target
1,0.5370278131575477
2,0.4313054813718417
3,0.5370278131575479
4,0.4313054813718417
5,0.5504558402058405
6,0.5370278131575477
7,0.5370278131575479
8,0.4313054813718417
9,0.5504558402058405
10,0.4313054813718417
11,0.4313054813718417
12,0.5370278131575479
13,0.4313054813718417
14,0.5370278131575477
15,0.5504558402058405
16,0.5370278131575479
17,0.4313054813718417
18,0.5370278131575477
19,0.5370278131575479
20,0.5370278131575477
21,0.4313054813718417
22,0.5504558402058405
23,0.5370278131575477
24,0.4313054813718417
25,0.5370278131575479
26,0.4313054813718417
27,0.5370278131575479
28,0.5370278131575477
29,0.5504558402058405
30,0.4313054813718417
31,0.4313054813718417
32,0.5370278131575479
33,0.5370278131575477
34,0.5504558402058405
35,0.4313054813718417
36,0.5370278131575479
37,0.4313054813718417
38,0.5370278131575477
39,0.5370278131575479
40,0.4313054813718417
41,0.5370278131575477
42,0.5504558402058405
43,0.4313054813718417
44,0.4313054813718417
45,0.5370278131575479
46,0.5370278131575477
47,0.5370278131575479
48,0.4313054813718417
49,0.5370278131575477
50,0.5504558402058405
51,0.4313054813718417
52,0.4313054813718417
53,0.5370278131575479
54,0.5370278131575477
55,0.5370278131575479
56,0.4313054813718417
57,0.5504558402058405
58,0.5370278131575477
59,0.4313054813718417
60,0.5370278131575479
61,0.5370278131575477
62,0.5370278131575479
63,0.4313054813718417
64,0.4313054813718417
65,0.5370278131575477
66,0.4313054813718417
67,0.5504558402058405
68,0.5370278131575477
69,0.5370278131575479
70,0.4313054813718417
71,0.5370278131575479
72,0.5370278131575477
73,0.4313054813718417
74,0.5504558402058405
75,0.4313054813718417
76,0.4313054813718417
77,0.5370278131575477
78,0.5370278131575479
79,0.4313054813718417
80,0.4313054813718417
81,0.5370278131575477
82,0.5370278131575479
83,0.4313054813718417
84,0.5504558402058405
85,0.5370278131575477
86,0.4313054813718417
87,0.5370278131575479
88,0.4313054813718417
89,0.4313054813718417
90,0.5370278131575479
91,0.5370278131575477
92,0.5370278131575479
93,0.5370278131575477
94,0.4313054813718417
95,0.5370278131575479
96,0.5370278131575477
97,0.5370278131575479
98,0.4313054813718417
99,0.5370278131575477
100,0.5370278131575479
101,0.4313054813718417
102,0.5370278131575479
103,0.5370278131575477
104,0.5504558402058405
105,0.4313054813718417
106,0.5370278131575479
107,0.5370278131575477
108,0.4313054813718417
109,0.5504558402058405
110,0.4313054813718417
111,0.5370278131575477
112,0.5370278131575479
113,0.4313054813718417
114,0.5504558402058405
115,0.5370278131575477
116,0.4313054813718417
117,0.5370278131575479
118,0.4313054813718417
119,0.5370278131575479
120,0.4313054813718417
121,0.5504558402058405
122,0.5370278131575477
123,0.5370278131575479
124,0.4313054813718417
125,0.5370278131575477
126,0.4313054813718417
127,0.5370278131575479
128,0.4313054813718417
129,0.5370278131575479
130,0.5370278131575477
131,0.5504558402058405
132,0.4313054813718417
133,0.5370278131575479
134,0.5370278131575477
135,0.5370278131575479
136,0.4313054813718417
137,0.5504558402058405
138,0.5370278131575477
139,0.4313054813718417
140,0.5370278131575479
141,0.5370278131575477
142,0.5370278131575479
143,0.4313054813718417
144,0.5504558402058405
145,0.5370278131575477
146,0.5370278131575479
147,0.5504558402058405
148,0.4313054813718417
149,0.5370278131575479
150,0.4313054813718417
151,0.5370278131575479
152,0.5370278131575477
153,0.5370278131575479
154,0.4313054813718417
155,0.4313054813718417
156,0.5504558402058405
157,0.5370278131575479
158,0.4313054813718417
159,0.5370278131575479
160,0.5370278131575477
161,0.5370278131575479
162,0.5504558402058405
163,0.4313054813718417
164,0.5370278131575477
165,0.5504558402058405
